Date,Accounts_Subscriptions,Google_Display_Impressions,Google_Display_Cost,Meta_Impressions,Meta_Cost,Google_Generic_Paid_Search_Impressions,Google_Generic_Paid_Search_Cost,TV_GRP,TV_Cost,Influencers_Views,Influencers_Cost,Google_Branded_Paid_Search_Clicks,Google_Branded_Paid_Search_Cost,YouTube_Impressions,YouTube_Cost,Dates_School_Holidays,Competitors_Promotion,Promotion
2022-05-28,5118,0,0,3032714,10401.5526,448951,14407.9096,0,0,0,0,4308,7578.88,5038,14388.528,3,14,14
2022-06-04,4727.5,0,0,5838993,14414.5284,231301,8482.9288,0,0,0,0,4140,7563.69,3991,11398.296,0,14,14
2022-06-11,4190,0,0,2260317,8937,250169,9637.5264,0,0,0,0,3803,5650.76,4245,12123.72,0,14,14
2022-06-18,3710,0,0,1485845,5461.8582,195889,6937.436,0,0,0,0,3870,6775.71,2586,7385.616,0,14,14
2022-06-25,3684,0,0,507110,1854.3972,167871,5232.7752,0,0,0,0,4144,6692.17,3847,10987.032,0,14,14
2022-07-02,4442,0,0,1812434,6393.4206,304324,9704.272,0,0,0,0,4538,7549.85,4893,13974.408,0,14,14
2022-07-09,5196,0,0,2513908,8539.6698,481090,10623.8952,0,0,0,0,4997,7455.07,5691,16253.496,0,14,14
2022-07-16,5695,0,0,2990266,9863.3844,472668,11679.128,0,0,0,0,5123,10646.02,4603,13146.168,1,14,14
2022-07-23,5488,0,0,3229179,8591.8614,288844,10438.6864,0,0,0,0,4676,8418.02,3231,9227.736,7,14,14
2022-07-30,5416.5,0,0,4277266,9366.5586,587222,20078.4656,0,0,0,0,4951,7079.28,4023,11489.688,7,14,14
2022-08-06,5522.5,0,0,2712442,7271.6124,542567,15688.4336,0,0,0,0,5377,7360.24,3689,10535.784,0,14,14
2022-08-13,5186,0,0,2754891,7700.0922,491790,14545.3864,0,0,0,0,5291,9228.32,4375,12495,0,14,14
2022-08-20,5350,0,0,2830076,7793.676,510888,16446.0344,0,0,0,0,5340,12436.66,4061,11598.216,0,14,14
2022-08-27,6038.5,0,0,1427803,4607.8986,600291,17437.2368,0,0,0,0,5382,10868.6,3780,10795.68,0,14,14
2022-09-03,5686,0,0,184497,595.1172,572289,15538.172,0,0,0,0,4672,11530.96,4072,11629.632,0,14,14
2022-09-10,4831.5,0,0,2849328,8199.4734,476542,13326.3456,0,0,0,0,4523,10798.46,3322,9487.632,0,14,14
2022-09-17,4949.5,0,0,2375082,7594.5234,454265,11984.5248,0,0,0,0,5026,10117.53,2308,6591.648,1,14,14
2022-09-24,4728.5,1414,61.19664199,2305556,11407.3476,432179,10214.0272,0,0,0,0,4520,9149.82,3086,8813.616,4,14,14
2022-10-01,4149,861,33.07530264,2483877,7823.1846,354039,7765.5416,0,0,0,0,3878,8434.28,2338,6677.328,0,14,14
2022-10-08,4185,0,0,2087615,5813.1948,350610,7714.8504,0,0,0,0,4340,9153.05,3162,9030.672,0,14,14
2022-10-15,5765.5,0,0,4839835,17521.4946,397274,9407.7272,0,0,0,0,5657,9486.68,3628,10361.568,0,14,14
2022-10-22,6310.5,0,0,2020244,7137.606,464800,9286.5192,0,0,0,0,5209,8373.32,4251,12140.856,0,14,14
2022-10-29,5496.5,0,0,2269000,6579.8928,430066,8856.7784,0,0,0,0,4910,7266.33,5018,14331.408,1,14,14
2022-11-05,5410.5,0,0,3658115,11050.9122,374657,7850.516,0,0,0,0,5158,8836.11,5881,16796.136,3,14,14
2022-11-12,5452,0,0,2584769,7555.9146,450913,10353.0392,0,0,0,0,5588,12012.39,4453,12717.768,0,14,14
2022-11-19,5390,0,0,2885498,8701.4484,523906,11444.4912,0,0,0,0,5845,13589.2,3526,10070.256,0,14,14
2022-11-26,5154,0,0,4164393,12844.6122,555262,11846.8664,0,0,698,2094,5384,11641.41,3727,10644.312,0,14,14
2022-12-03,5132,0,0,6262504,17863.7022,509693,11590.0392,0,0,353,1059,5394,9583.57,2887,8245.272,0,14,14
2022-12-10,5726,0,0,7308243,24444.3672,469272,12325.1064,0,0,58,174,5706,14559.83,3346,9556.176,0,14,14
2022-12-17,5892,0,0,3626676,10878.9192,443186,12973.3736,578.5714286,13307.14286,88,264,5561,14889.52,5022,14342.832,0,14,14
2022-12-24,6247,0,0,4048603,13570.2414,441503,13857.8368,3471.428571,79842.85714,24,72,5784,15059.61,4709,13448.904,0,14,14
2022-12-31,6391.5,0,0,6508158,21668.3304,469839,13677.1264,578.5714286,13307.14286,0,0,5139,15431.23,4306,12297.936,0,14,14
2023-01-07,6198,0,0,4564309,15608.7468,388414,11698.7184,3471.428571,79842.85714,0,0,5390,22183.12,4403,12574.968,1,14,14
2023-01-14,6883,0,0,5336332,19254.2286,245070,9465.9616,578.5714286,13307.14286,0,0,6066,23596.5,4457,12729.192,7,14,14
2023-01-21,8185.5,0,0,6066914,23436.4326,453391,12526.4784,3471.428571,79842.85714,0,0,6586,11545.24,4078,11646.768,7,14,14
2023-01-28,9595.5,6009,310.457582,7328668,25970.6118,634790,15854.1264,0,0,0,0,6924,6884.93,6395,18264.12,7,14,14
2023-02-04,9040.5,0,0,5190058,15616.818,603150,15248.3128,0,0,0,0,6254,6591.49,4772,13628.832,7,14,14
2023-02-11,8819,0,0,8862969,23989.3182,625489,17828.6576,0,0,0,0,6262,7389.92,4146,11840.976,7,14,14
2023-02-18,9022.5,0,0,9124069,26157.9714,625065,17535.8208,0,0,0,0,6120,7909.38,4195,11980.92,7,14,14
2023-02-25,8272,0,0,9309811,26707.9422,628094,16228.7776,0,0,0,0,5935,6612.66,4859,13877.304,7,14,14
2023-03-04,7696,0,0,8287171,22817.4384,655432,16008.58,0,0,0,0,5444,7117.57,3354,9579.024,7,14,14
2023-03-11,7611,0,0,9445888,28452.8232,588654,14428.7368,0,0,0,0,5806,8310.35,3650,10424.4,7,14,14
2023-03-18,7726.5,0,0,7316047,24251.7066,637317,15373.6792,0,0,0,0,6156,8367.75,3723,10632.888,0,14,14
2023-03-25,7439.5,0,0,3629125,12849.1872,577195,13576.7432,0,0,0,0,6635,8537.4,3734,10664.304,0,14,14
2023-04-01,7019.5,0,0,6068216,18369.7818,514283,13243.0568,0,0,0,0,6123,8775.72,4380,12509.28,0,14,14
2023-04-08,6238,0,0,4397678,15141.531,404108,10167.7,0,0,0,0,5438,7008.21,3132,8944.992,0,14,14
2023-04-15,5588.5,0,0,3185716,11712.6324,353639,10122.7208,0,0,0,0,5218,9334.65,4432,12657.792,0,14,14
2023-04-22,5348.5,0,0,3692850,16180.2642,368084,9450.3312,0,0,0,0,5055,5468.14,4061,11598.216,0,14,14
2023-04-29,5435.5,0,0,5198383,23202.1452,293463,7950.2,0,0,0,0,4771,5689.11,4073,11632.488,0,14,14
2023-05-06,5316,0,0,3367451,12186.7842,251179,9089.0752,0,0,0,0,4605,6129.04,3420,9767.52,0,14,14
2023-05-13,4929,295385,29709.6616,3413153,13881.5754,392013,14663.4664,0,0,0,0,4738,5785.73,6024,17204.544,0,14,14
2023-05-20,5096,483,49.01484855,2669548,11611.9578,417504,14564.5496,0,0,0,0,4768,5762.11,7600,21705.6,1,14,14
2023-05-27,5203.5,33039,952.1330332,2587070,12113.7648,359885,11964.06,0,0,0,0,4934,7214.97,6024,17204.544,4,14,14
2023-06-03,4466.5,3450,174.8958033,2831557,12688.3944,320286,10446.9352,0,0,0,0,4273,5672.63,3745,10695.72,0,14,14
2023-06-10,4535,0,0,3859643,18198.2466,501504,20939.6424,0,0,0,0,5179,11007.65,4939,14105.784,0,14,14
2023-06-17,5530.5,0,0,3430555,18621.474,461414,19854.6064,0,0,0,0,5350,8503.3,4629,13220.424,0,14,14
2023-06-24,6179,235210,22421.74289,4101734,30086.3496,281135,8654.5152,0,0,0,0,5427,7493.52,3347,9559.032,0,14,14
2023-07-01,5193.5,96397,9423.545327,2246118,11495.1348,345669,10726.4192,0,0,0,0,4438,7187.64,3571,10198.776,0,14,14
2023-07-08,4519,0,0,1429052,8987.175,371592,11695.28,0,0,0,0,4974,8190.53,3341,9541.896,0,14,14
2023-07-15,5715.5,0,0,1675351,11130.7224,242449,7493.1624,0,0,0,0,5397,7380.1,9760,27874.56,0,14,25.42857143
2023-07-22,8015.5,0,0,5332382,18510.5556,225607,7369.2616,0,0,0,0,8338,11754.4,29765,85008.84,5,14,30
2023-07-29,8470.5,0,0,8051351,25419.4782,364551,13938.888,0,0,0,0,5903,6489.27,6837,19526.472,7,14,30
2023-08-05,7421.5,0,0,9536401,31956.291,401841,17706.776,0,0,0,0,6519,8302.82,3952,11286.912,7,14,30
2023-08-12,7190.5,0,0,6293242,22057.0662,403844,18458.9776,0,0,18,54,6144,8119.68,3871,11055.576,0,14,30
2023-08-19,6684,0,0,6657755,22647.9588,379485,15612.2184,0,0,0,0,6238,7402.11,4397,12557.832,0,14,30
2023-08-26,6259,67723,3432.85273,4400266,16187.1096,328825,11696.1928,0,0,0,0,5389,6034.54,3922,11201.232,0,14,30
2023-09-02,6300.5,526556,23208.71825,3952303,13294.5456,353797,12849.7192,0,0,0,0,5331,5957.02,3282,9373.392,0,14,23.14285714
2023-09-09,6401,239966,21543.18493,1553495,5248.6788,298050,10511.4208,0,0,0,0,5234,7182.21,3455,9867.48,0,14,14
2023-09-16,6067,239471,20211.19491,2093310,8366.1252,278154,9218.6904,952,0,0,0,5210,6675.84,3195,9124.92,0,14,14
2023-09-23,5628,187211,13102.3052,3140858,14484.6666,210852,7153.4624,1085,0,0,0,4864,6713.39,3577,10215.912,1,14,14
2023-09-30,5513.5,0,0,4223775,17579.6502,290573,13069.1312,917,0,0,0,4710,7156.45,3349,9564.744,4,14,14
2023-10-07,5660.5,53902,2583.952605,4048315,15822.2982,326755,15103.7344,0,4331.666667,0,0,4673,8785.48,3510,10024.56,0,14,14
2023-10-14,5190,36289,5361.298909,2331651,10130.1858,352118,14353.0952,0,6064.333333,16,48,4247,7745.43,2617,7474.152,0,14,14
2023-10-21,4625.5,0,0,1948637,8650.9008,383035,12840.916,0,6064.333333,0,0,3977,7415.01,3421,9770.376,0,14,14
2023-10-28,4886,0,0,2061975,8062.749,367029,11832.708,0,6064.333333,0,0,3581,6844.64,3786,10812.816,0,14,14
2023-11-04,5269,0,0,3499618,13977.6708,387123,12281.752,1232,5391.139785,11,33,4184,8167.71,1988,5677.728,4,14,14
2023-11-11,4970,0,0,1977380,8304.321,336460,12189.5496,1085,4493.548387,0,0,4071,7165.05,1917,5474.952,0,14,14
2023-11-18,4692.5,309009,11540.80486,2469271,10914.7344,333356,12280.3232,1176,4493.548387,0,0,4631,9050.39,1773,5063.688,0,14,14
2023-11-25,4545,0,0,1639002,7810.7166,311775,10912.9704,0,4493.548387,0,0,4624,10562.53,1791,5115.096,0,14,14
2023-12-02,4511,0,0,2806457,13449.8622,299950,10296.3168,63,4493.548387,0,0,4964,10368.47,1617,4618.152,0,14,14
2023-12-09,4610.5,0,0,3658934,15752.1036,281190,8738.224,203,8873.666667,0,0,3937,11768.68,1440,4112.64,0,14,14
2023-12-16,4816.5,0,0,3304492,17100.8736,334226,11772.3848,35,8873.666667,19,57,4148,8808.94,1543,4406.808,0,14,30
2023-12-23,4964,0,0,3307819,18689.5404,284148,11622.6344,1036,8873.666667,0,0,4354,12581.02,2787,7959.672,0,14,30
2023-12-30,5557,0,0,4848550,26511.0186,255182,11416.3152,931,8873.666667,0,0,4486,14238.93,6351,18138.456,1,27.71428571,30
2024-01-06,6482,0,0,5458484,29248.8384,288503,13303.288,1652,3667.591398,12,36,4490,12227.43,9429,26929.224,7,30,30
2024-01-13,7316,0,0,6357119,35850.8856,253555,12272.9576,231,1585.16129,0,0,4700,15827.08,9332,26652.192,7,30,30
2024-01-20,7788,0,0,6518173,34754.976,241372,10110.5016,168,1585.16129,0,0,4994,17329.72,20557,58710.792,7,30,30
2024-01-27,8943,70548,3235.664703,8244001,44163.6798,344142,15998.9216,42,1585.16129,698,2094,6100,23526.78,31100,88821.6,7,30,30
2024-02-03,10163.5,73613,4960.520426,8323306,43623.1398,403873,18874.1664,28,2000.645161,353,1059,6005,23977.89,30422,86885.232,7,30,30
2024-02-10,8688.5,0,0,8296581,40633.4622,370463,16155.8784,126,3039.354839,58,174,4956,19250.06,22407,63994.392,7,30,30
2024-02-17,7410.5,0,0,8659795,44900.1726,378337,16832.6968,154,3039.354839,88,264,5330,24047.74,20928,59770.368,7,30,30
2024-02-24,7131,0,0,7436218,36058.1958,348166,14904.1176,140,3039.354839,24,72,5009,19418.93,20052,57268.512,7,30,30
2024-03-02,6141.5,0,0,7821529,36236.6028,296754,13812.5384,56,3039.354839,35,105,4717,16631.38,7671,21908.376,7,30,30
2024-03-09,5721,0,0,7018798,33414.2796,299693,13485.204,42,812.1935484,0,0,5073,18734.55,7237,20668.872,7,30,30
2024-03-16,5603.5,0,0,5784112,28200.3546,286411,12622.5136,56,441,153,459,4919,18619.86,7845,22405.32,0,30,30
2024-03-23,5442,0,0,4644510,25727.5368,365442,15166.4976,1379,441,76,228,4774,16615.76,6724,19203.744,0,30,30
2024-03-30,6052,0,0,6082423,31479.8778,400756,16343.728,1806,441,453,1359,5079,15607.37,6701,19138.056,0,30,30
2024-04-06,6270.5,0,0,5785793,30589.2618,441653,16644.0776,1288,2143.193548,0,0,5054,16519.99,5627,16070.712,0,30,30
2024-04-13,6405,0,0,6162515,34820.607,376155,15449.8696,119,3419.83871,80,240,5055,17720.17,5090,14537.04,0,30,30
2024-04-20,6031,0,0,4007855,25007.1666,421372,16021.48,259,3419.83871,10,30,5090,29127.16,4175,11923.8,0,30,30
2024-04-27,5145,0,0,3392093,18984.1686,381104,14403.2912,322,3419.83871,52,156,4146,31194.45,6649,18989.544,0,30,30
2024-05-04,4562,0,0,3044434,17386.761,359448,14625.532,420,3839.290323,117,351,4898,38677.53,5326,15211.056,0,30,14
2024-05-11,4310.5,0,0,2191645,12175.9482,342873,13690.7464,308,6356,29,87,4815,31689.69,6996,19980.576,0,30,14
2024-05-18,4726.5,0,0,1880383,10671.9714,527422,16989.4376,0,6356,0,0,4858,29376.92,5745,16407.72,0,30,23.14285714
2024-05-25,5466,3419,549.1017961,775008,3895.3554,513187,19090.7112,0,6356,0,0,5520,26858.99,9038,25812.528,1,30,30
2024-06-01,6089,17668,2269.714596,692345,4086.5856,558415,23498.4232,0,6356,0,0,5322,20410.17,6922,19769.232,4,30,30
2024-06-08,5363.5,0,0,474536,3087.3414,409320,18992.6128,0,1824.451613,0,0,5099,22297.29,3808,10875.648,0,30,30
2024-06-15,4548.5,0,0,515872,3593.8614,351043,12793.4384,0,1069.193548,0,0,4962,36591.76,7979,22788.024,0,30,30
2024-06-22,4522.5,67415,4275.127153,955523,8976.834,250159,10011.2272,0,1069.193548,20,60,4488,38836.21,5096,14554.176,0,30,30
2024-06-29,4736.5,15079,2326.15653,2954291,20929.425,349559,13110.9944,0,1069.193548,25,75,4549,45025.11,9977,28494.312,0,30,30
2024-07-06,4740,73485,7485.922776,925426,5478.579,416913,13654.6152,0,0,0,0,4799,45462.33,12280,35071.68,0,30,30
2024-07-13,4991.5,14546,1799.474267,1077514,5567.9004,486053,18114.4992,0,0,0,0,4764,26362.74,27889,79650.984,0,30,30
2024-07-20,5069,34016,3415.603242,1146811,5474.3112,381731,14007.2896,0,2785.714286,75,225,4296,14197.7,9097,25981.032,5,30,30
2024-07-27,5138,43119,4602.946339,2036127,6534.69,555306,20072.7304,0,19500,135,405,4904,14747.89,11044,31541.664,7,30,30
2024-08-03,5756,82603,7237.865995,2395790,7886.5458,638262,25329.6,0,19500,0,0,4965,14871.47,6899,19703.544,7,30,30
2024-08-10,5535,20032,2097.273237,1827483,6890.8056,535413,19760.112,0,19500,0,0,4920,19360,9131,26078.136,0,30,27.71428571
2024-08-17,5155.5,0,0,1151869,4263.7536,489747,15901.9912,0,16714.28571,109,327,5348,21901.27,7101,20280.456,0,30,14
2024-08-24,5573,0,0,1099039,4458.999,484309,13422.2344,0,0,138,414,5021,19488.97,5807,16584.792,0,30,14
2024-08-31,5267,0,0,1782943,8004.4452,482778,16024.0408,0,0,0,0,4279,9236.84,5181,14796.936,0,30,14
2024-09-07,4424,30376,4247.502268,1572853,7962.1878,697618,25796.9472,0,0,0,0,4311,10105.04,5331,15225.336,0,30,14
2024-09-14,4733.5,17178,2285.139884,3138881,17567.2986,707923,25683.6944,0,0,0,0,3592,8266.33,5325,15208.2,0,30,14
2024-09-21,4314.5,66047,7114.991364,1892092,9011.8992,414441,14574.1856,0,0,0,0,3354,6440.73,3491,9970.296,1,30,14
2024-09-28,3794,23451,3571.987204,509869,1847.3154,275621,7164.148,0,0,0,0,3131,3479.8,8754,25001.424,4,30,14
2024-10-05,4326,25344,4405.552612,748276,3165.2772,316940,10443.3376,0,0,0,0,3044,3447.83,3933,11232.648,0,30,27.71428571
2024-10-12,4649.5,20701,2946.936888,1009906,4202.91,409803,18306.3496,0,0,336,1008,2854,4258.8,4188,11960.928,0,30,30
2024-10-19,5421,28600,5005.068297,1817863,6893.058,418371,21723.8624,0,0,0,0,2843,4444.8,5094,14548.464,0,30,30
2024-10-26,5458,29978,5191.466941,1310500,5333.4318,396923,17368.9744,0,0,0,0,2377,3087.4,3258,9304.848,0,30,30
2024-11-02,4669,14894,1905.174245,1162218,4629.108,462402,18934.84,0,0,0,0,2193,1988.23,6443,18401.208,1,30,30
2024-11-09,5178.5,13602,1804.767026,783682,3239.0094,512561,24539.0872,0,0,0,0,2339,3263.76,5687,16242.072,3,30,30
2024-11-16,5890.5,12834,1914.433683,1019132,3950.8086,579510,28363.8584,0,0,89,267,2762,4027.53,5399,15419.544,0,30,30
2024-11-23,5371,8994,1487.102959,853116,3512.1558,387691,18876.4288,0,0,43,129,2320,3472.04,7022,20054.832,0,30,30
2024-11-30,4970,0,0,1977380,8304.321,336460,12189.5496,1085,4493.548387,0,0,4071,7165.05,1917,5474.952,0,14,14
2024-12-07,4692.5,309009,11540.80486,2469271,10914.7344,333356,12280.3232,1176,4493.548387,0,0,4631,9050.39,1773,5063.688,0,14,14
2024-12-14,4545,0,0,1639002,7810.7166,311775,10912.9704,0,4493.548387,0,0,4624,10562.53,1791,5115.096,0,14,14
2024-12-21,4511,0,0,2806457,13449.8622,299950,10296.3168,63,4493.548387,0,0,4964,10368.47,1617,4618.152,0,14,14
2024-12-28,4610.5,0,0,3658934,15752.1036,281190,8738.224,203,8873.666667,0,0,3937,11768.68,1440,4112.64,0,14,14
